release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
2021,0.685,0.717,0.0,-6.456,0.0,0.0411,0.101,1.87e-05,0.266,0.549,127.963,4.0,221203.0
2021,0.742,0.734,8.0,-5.582,0.0,0.0407,0.629,0.00314,0.0834,0.541,114.952,4.0,146006.0
2021,0.708,0.598,3.0,-4.969,0.0,0.0617,0.202,0.0,0.183,0.561,144.09,4.0,161667.0
2021,0.488,0.635,10.0,-7.19,1.0,0.26,0.179,8.16e-06,0.156,0.783,174.072,4.0,269884.0
2021,0.768,0.764,0.0,-5.82,1.0,0.0295,0.0963,1.03e-05,0.114,0.472,92.965,4.0,170323.0
2021,0.551,0.636,2.0,-6.798,1.0,0.054,0.0837,4.28e-06,0.112,0.148,174.065,4.0,168276.0
2021,0.724,0.531,5.0,-4.108,0.0,0.298,0.225,0.0,0.11,0.141,89.901,4.0,239635.0
2021,0.546,0.64,8.0,-5.582,1.0,0.37,0.0438,0.0,0.137,0.63,137.728,4.0,339250.0
2021,0.915,0.72,8.0,-3.126,1.0,0.0459,0.025,1.42e-05,0.0942,0.631,126.986,4.0,131067.0
2021,0.629,0.445,3.0,-6.999,1.0,0.0258,0.77,2.92e-06,0.351,0.209,94.103,4.0,183241.0
2021,0.666,0.796,10.0,-6.967,0.0,0.103,0.0492,0.0,0.0442,0.61,110.108,4.0,164842.0
2021,0.359,0.706,5.0,-6.151,1.0,0.0309,0.000602,0.0,0.285,0.479,174.079,4.0,171333.0
2021,0.667,0.582,11.0,-5.791,0.0,0.267,0.00466,0.0,0.124,0.141,121.972,4.0,316733.0
2021,0.477,0.727,2.0,-4.053,1.0,0.286,0.000866,0.0,0.108,0.227,150.062,4.0,236524.0
2021,0.59,0.493,7.0,-8.704,0.0,0.0367,0.402,0.00504,0.129,0.0498,150.026,4.0,252379.0
2021,0.476,0.161,8.0,-11.665,0.0,0.0407,0.967,0.0381,0.109,0.0908,119.614,4.0,133763.0
2021,0.32,0.466,8.0,-6.77,1.0,0.0374,0.00645,0.0,0.133,0.338,177.693,3.0,229304.0
2021,0.519,0.851,7.0,-6.001,1.0,0.29,0.118,0.0,0.178,0.711,123.823,5.0,213104.0
2021,0.806,0.653,8.0,-6.283,1.0,0.0902,0.0282,0.000784,0.107,0.85,150.058,4.0,200690.0
2021,0.843,0.485,10.0,-8.735,0.0,0.195,0.181,0.0675,0.107,0.689,100.053,4.0,192418.0
2020,0.623,0.79,7.0,-5.07,1.0,0.0473,0.118,0.0,0.226,0.694,81.949,4.0,187684.0
2021,0.469,0.673,6.0,-8.015,1.0,0.0337,0.418,1.41e-05,0.119,0.578,175.954,4.0,174838.0
2021,0.458,0.571,4.0,-6.739,1.0,0.0949,0.535,0.000305,0.0846,0.586,110.013,4.0,297000.0
2021,0.473,0.53,0.0,-8.506,1.0,0.249,0.812,6.92e-06,0.227,0.637,74.732,3.0,351220.0
2021,0.738,0.471,11.0,-9.208,0.0,0.402,0.319,1.28e-06,0.13,0.283,107.98,5.0,204630.0
2021,0.752,0.69,7.0,-3.948,1.0,0.0642,0.27,0.0,0.303,0.396,148.07,4.0,147669.0
2021,0.595,0.656,7.0,-7.868,1.0,0.247,0.148,0.0,0.47,0.416,99.811,4.0,242400.0
2021,0.459,0.431,9.0,-8.375,0.0,0.256,0.795,0.0,0.274,0.128,177.3,4.0,195170.0
2021,0.477,0.713,1.0,-6.805,1.0,0.126,0.0984,0.00844,0.0879,0.113,106.137,5.0,538537.0
2021,0.797,0.631,3.0,-3.818,0.0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,4.0,184213.0
2021,0.792,0.548,4.0,-7.079,1.0,0.082,0.0784,7.26e-05,0.167,0.197,110.105,4.0,198614.0
2021,0.325,0.311,10.0,-7.481,1.0,0.0442,0.289,6.74e-05,0.11,0.0789,92.744,3.0,333462.0
2020,0.449,0.465,0.0,-8.964,1.0,0.0791,0.524,1.02e-06,0.303,0.543,89.087,3.0,198371.0
2020,0.487,0.65,0.0,-5.195,1.0,0.0253,0.191,0.0,0.0933,0.456,151.964,4.0,232533.0
2021,0.764,0.422,0.0,-7.265,0.0,0.119,0.0409,0.0,0.152,0.268,82.986,4.0,145301.0
2021,0.386,0.534,5.0,-6.086,0.0,0.0389,0.129,0.0,0.351,0.343,110.057,4.0,197898.0
2021,0.381,0.528,5.0,-6.997,1.0,0.0449,0.102,0.0,0.269,0.256,97.207,4.0,358622.0
2021,0.161,0.327,1.0,-8.059,0.0,0.0341,0.00632,0.792,0.138,0.0815,135.382,3.0,178061.0
2021,0.534,0.491,10.0,-7.945,1.0,0.0545,0.849,0.0,0.192,0.428,105.989,5.0,128313.0
2021,0.513,0.644,0.0,-6.387,1.0,0.344,0.201,0.00033,0.194,0.087,166.35,4.0,221250.0
2021,0.7,0.572,4.0,-6.459,1.0,0.0515,0.453,0.0,0.0871,0.686,109.985,4.0,297000.0
2021,0.517,0.7,6.0,-6.568,0.0,0.0452,0.00375,0.0385,0.0634,0.518,179.986,4.0,176413.0
2021,0.67,0.675,6.0,-4.624,0.0,0.179,0.0581,0.0,0.433,0.263,90.948,4.0,183297.0
2021,0.711,0.428,1.0,-7.274,0.0,0.307,0.145,0.0,0.534,0.197,83.036,4.0,162108.0
2021,0.44,0.465,3.0,-6.592,1.0,0.0318,0.689,1.26e-06,0.384,0.241,126.937,4.0,310394.0
2021,0.714,0.417,2.0,-11.085,0.0,0.0426,0.209,0.0,0.105,0.213,144.064,3.0,104219.0
2021,0.672,0.526,4.0,-6.446,1.0,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,4.0,143747.0
2021,0.743,0.655,6.0,-5.015,0.0,0.159,0.114,0.0,0.0764,0.785,172.031,4.0,261335.0
2021,0.681,0.687,9.0,-7.612,1.0,0.332,0.0555,0.0,0.062,0.588,108.641,3.0,190345.0
2021,0.672,0.654,1.0,-4.528,1.0,0.0966,0.201,0.0,0.1,0.404,78.512,4.0,188026.0
2020,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4.0,200040.0
2021,0.748,0.551,11.0,-6.12,1.0,0.0349,0.235,0.0,0.119,0.66,103.953,4.0,144533.0
2020,0.662,0.413,0.0,-7.357,1.0,0.0299,0.213,0.0,0.134,0.467,93.005,4.0,161385.0
2021,0.778,0.695,4.0,-6.865,0.0,0.0913,0.175,0.0,0.15,0.472,149.996,4.0,132780.0
2021,0.789,0.536,6.0,-6.862,1.0,0.242,0.41,0.0,0.129,0.437,81.039,4.0,165926.0
2020,0.707,0.689,4.0,-7.097,0.0,0.0387,0.0255,0.0,0.383,0.41,119.987,4.0,195962.0
2021,0.713,0.676,10.0,-5.483,1.0,0.027,0.0377,0.0,0.154,0.721,99.048,4.0,227395.0
2021,0.756,0.698,6.0,-5.464,1.0,0.178,0.0849,0.0,0.221,0.66,77.497,4.0,247714.0
2021,0.321,0.525,7.0,-9.891,0.0,0.131,0.0668,0.0,0.137,0.152,75.774,4.0,212064.0
2021,0.74,0.564,8.0,-6.71,1.0,0.0688,0.0126,0.0,0.126,0.129,158.114,4.0,152025.0
2021,0.689,0.695,11.0,-5.22,1.0,0.0429,0.019,0.0,0.123,0.359,75.05,4.0,168253.0
2021,0.55,0.637,8.0,-5.212,1.0,0.163,0.597,0.0,0.129,0.535,84.448,4.0,160078.0
2021,0.471,0.396,8.0,-6.654,1.0,0.0336,0.77,0.0,0.0729,0.263,149.609,4.0,215507.0
2021,0.422,0.491,6.0,-5.703,1.0,0.368,0.195,0.0,0.142,0.67,184.344,5.0,181714.0
2021,0.581,0.877,8.0,-4.938,1.0,0.114,0.0151,0.0,0.826,0.353,77.006,4.0,236883.0
2021,0.691,0.695,0.0,-5.6,1.0,0.0367,0.0592,0.0,0.0647,0.514,106.064,4.0,233386.0
2021,0.674,0.824,1.0,-4.74,1.0,0.0588,0.0309,0.0,0.0567,0.567,150.017,3.0,160000.0
2021,0.588,0.856,0.0,-5.288,0.0,0.0648,0.00128,2.78e-06,0.109,0.359,150.008,4.0,163260.0
2021,0.422,0.34,0.0,-6.577,1.0,0.0351,0.877,1.77e-05,0.149,0.223,77.213,4.0,204094.0
2021,0.425,0.672,0.0,-5.586,1.0,0.245,0.0921,0.0,0.0903,0.15,85.801,4.0,231771.0
2021,0.634,0.804,11.0,-6.688,0.0,0.477,0.162,0.0,0.351,0.809,147.259,4.0,136377.0
2021,0.712,0.636,1.0,-7.188,1.0,0.0566,0.303,0.0,0.112,0.126,134.927,5.0,155259.0
2021,0.718,0.684,11.0,-5.16,0.0,0.248,0.0182,0.0,0.233,0.856,146.084,4.0,159452.0
2021,0.944,0.693,11.0,-8.605,0.0,0.266,0.00789,0.0,0.164,0.626,134.061,4.0,159240.0
2021,0.702,0.741,9.0,-5.33,1.0,0.0427,0.00544,0.0,0.337,0.646,124.925,4.0,187585.0
2021,0.509,0.762,8.0,-4.57,1.0,0.0829,0.0922,0.0,0.0883,0.317,84.847,4.0,193493.0
2021,0.663,0.432,8.0,-8.553,1.0,0.0382,0.448,2.62e-05,0.152,0.307,130.108,4.0,230881.0
