release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,popularity,peak-rank
5/21/2021,day,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41E-06,0.118,0.637,119.976,4,154983,86,19
5/21/2021,day,0.442,0.612,2,-7.222,1,0.112,0.584,5.70E-06,0.37,0.178,180.917,4,215507,88,3
11/5/2021,day,0.726,0.728,11,-5.775,0,0.0408,0.239,0,0.177,0.566,115.047,4,225502,70,56
12/17/2021,day,0.621,0.405,1,-11.26,0,0.437,0.382,0,0.152,0.141,98.427,4,174549,71,20
10/15/2021,day,0.767,0.313,7,-12.059,1,0.0798,0.838,0,0.105,0.765,82.582,4,210907,75,68
10/15/2021,day,0.707,0.442,0,-10.395,0,0.339,0.0698,0,0.106,0.344,81.021,4,220413,53,69
,,,,,,,,,,,,,,,,78
6/4/2021,day,0.644,0.648,1,-4.601,1,0.118,0.276,0,0.135,0.44,179.951,4,206710,88,10
9/3/2021,day,0.423,0.667,6,-7.012,0,0.326,0.758,0,0.246,0.496,86.743,4,336511,77,4
10/15/2021,day,0.592,0.342,0,-8.93,1,0.0339,0.193,0.00245,0.11,0.155,130.953,4,241595,79,91
9/17/2021,day,0.55,0.767,9,-6.281,1,0.0248,0.00141,3.07E-06,0.143,0.601,104.016,3,192027,58,50
10/15/2021,day,0.509,0.51,4,-9.522,0,0.425,0.176,0,0.223,0.22,82.407,4,237263,51,95
7/16/2021,day,0.563,0.672,9,-7.226,0,0.0765,0.359,0,0.0972,0.284,99.772,4,156000,72,64
10/8/2021,day,0.8,0.541,10,-5.05,0,0.0375,0.0252,0,0.146,0.194,135.99,4,183514,67,53
3/19/2021,day,0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03,4,198082,86,1
5/20/2021,day,0.78,0.718,3,-3.605,0,0.0506,0.31,0.000163,0.0932,0.342,127.949,4,199604,83,32
11/30/2020,day,0.627,0.678,2,-4.691,1,0.0294,0.185,0,0.374,0.724,100.032,4,160839,62,24
9/24/2021,day,0.861,0.637,6,-7.701,0,0.133,0.392,0,0.0929,0.754,87.006,4,198621,69,32
8/20/2021,day,0.776,0.808,11,-4.501,1,0.117,0.0297,0.000127,0.103,0.494,123.988,4,184104,82,48
4/9/2021,day,0.494,0.771,1,-4.309,1,0.0626,0.0649,0,0.11,0.371,136.053,4,228440,66,24
10/5/2021,day,0.715,0.625,5,-5.58,1,0.152,0.225,0,0.103,0.588,147.97,4,233514,61,48
10/5/2021,day,0.662,0.798,8,-5.332,0,0.165,0.179,0,0.147,0.663,134.999,4,229333,60,28
10/1/2021,day,0.647,0.823,2,-4.074,1,0.0478,0.0387,0,0.74,0.309,150.995,4,174805,58,36
2/26/2021,day,0.612,0.884,5,-4.4,1,0.0459,0.00516,0,0.0997,0.626,119.991,4,245626,76,53
6/10/2022,day,0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0788,0.695,109.997,4,164952,83,1
10/1/2021,day,0.773,0.623,2,-5.267,1,0.196,0.00194,0,0.133,0.13,153.1,4,150527,62,60
10/1/2021,day,0.52,0.552,6,-7.178,0,0.489,0.211,0,0.139,0.554,172.306,4,213749,50,66
10/1/2021,day,0.571,0.525,6,-7.785,0,0.343,0.161,0,0.164,0.306,119.205,5,141573,51,69
,,,,,,,,,,,,,,,,72
10/1/2021,day,0.598,0.664,2,-5.086,1,0.426,0.011,0,0.539,0.315,149.17,4,198591,48,76
9/30/2021,day,0.664,0.692,1,-4.128,0,0.127,0.237,0,0.0798,0.233,154.924,4,257369,73,78
11/12/2021,day,0.808,0.903,9,-2.179,1,0.0729,0.0899,0,0.0816,0.922,120.044,4,198053,78,83
10/1/2021,day,0.893,0.638,8,-7.959,1,0.32,0.0852,0,0.139,0.584,79.944,4,180000,51,89
10/1/2021,day,0.65,0.597,8,-5.544,0,0.313,0.342,0,0.104,0.808,90.635,4,234667,49,90
10/1/2021,day,0.559,0.532,5,-7.679,0,0.353,0.174,0,0.136,0.529,85.843,5,186060,60,91
10/1/2021,day,0.462,0.615,1,-6.429,1,0.215,0.23,0,0.0928,0.307,90.068,4,182251,52,95
